Rank,Song,Artist,Year,Topic Rank,Single Rank,Position Rank,Multipartite Rank
12,I'm the One,DJ Khaled,2017,one;dawn;know;money;truth;girl;god;early;sick;outta;record;modern;intimidate;clyde;body;best;dj;table;response;bitch,one;plug;modern;other;bobby;tunechi;only;early;gucci;dj;'cause;god;bed;new;same;mula;bonnie;rain;record;day,one;best;dj;other;khaled;early;truth;outta;mula;know;intimidate;money;record;'cause;same;dawn;modern;rain;boy;bobby,one;dawn;know;truth;money;early;girl;god;best;sick;dj;outta;modern;clyde;intimidate;record;body;table;baby;response
13,XO Tour Llif3,Lil Uzi Vert,2017,friends;dead;edge;way;top;countin;afraid;eyes;bands;niggas;real;money;xanny;cadence;alright;pain;baby;shoulda;worst;medicine,fast;way;edge;thunderstorm;cadence;medicine;g;c;edge;friends;dead;countin;same;niggas;xanny;g;top;pain;brain;money,way;countin;money;top;edge;edge;friends;bands;eyes;g;same;fallin;shoulda;c;real;lookin;stackin;g;swag;everybody,friends;dead;edge;way;top;countin;afraid;eyes;niggas;cadence;real;bands;money;xanny;alright;pain;baby;shoulda;medicine;worst
14,Mask Off,Future,2017,percocets;set;fuck;check;bitch;mask;rep;chase;way;rob;gas;calamari;promethazine;tec;parliament;parlay;door;maybach;guillotine;theodore,theo;percocets;move;ocean;nother;switch;foreign;drug;calamari;food;bitch;biscayne;check;set;mask;peru;fuck;rob;extremes;attendance,percocets;set;bitch;check;rep;mask;fuck;chase;nother;food;hendrix;move;ocean;drug;adrenaline;biscayne;gang;theo;gas;bottom,percocets;set;fuck;check;bitch;mask;rep;chase;way;rob;gas;calamari;promethazine;tec;parliament;parlay;door;maybach;guillotine;theodore
15,Unforgettable,French Montana,2017,nobody;little;alone;tryna;unforgettable;good;level;lovers;home;drink;girl;ship;much;hurry;enough;fuckin;room;know;bacardi;gogo,nobody;little;alone;nobody;good;much;little;cruise;enough;whole;last;bad;body;alone;hard;ship;good;unforgettable;much;home,good;nobody;little;little;nobody;alone;body;drink;much;enough;fuckin;girl;tryna;cruise;level;gogo;room;lovers;bad;hurry,nobody;little;alone;good;unforgettable;drink;tryna;level;lovers;enough;ship;room;girl;home;hurry;body;much;gogo;fuckin;good
16,24K Magic,Bruno Mars,2017,right;girls;karat;moon;toe;air;pinky;ooh;money;pocket;dangerous;show;red;blues;color;feeling;fault;rocket;gangstas;hustlas,many;karat;dangerous;air;hey;karat;pinky;player;girls;ugly;pop;money;pinky;right;finest;cuban;bad;ooh;show;toe,tonight;right;sky;karat;hands;pinky;many;party;players;air;hey;karat;girls;player;pop;moon;show;toe;yo;dangerous,right;girls;player;karat;moon;pinky;toe;air;ooh;money;party;blues;dangerous;pocket;show;red;ooh;many;color;sky
17,Stay,Zedd,2017,clock;time;cola;underneath;sofa;hands;second;reasons;sun;minute;young;winds;change;hope;night;guess;mind;best,sofa;young;clock;time;underneath;cola;sun;guess;night;minute;hands;second;change;winds;hope;mind;reasons;best;own,time;clock;sofa;hope;winds;change;minute;young;mind;hands;underneath;sun;cola;reasons;night;guess,clock;time;cola;underneath;sofa;hands;second;reasons;sun;minute;young;winds;change;hope;night;guess;mind;best
18,Wild Thoughts,DJ Khaled,2017,wild;wild;kitty;maytag;nothing;jets;ayy;thing;wild;brown;hop;water;town;hip;baking;black;rockin;safety;pussy;shinin,wild;wild;baby;wild;wild;wild;kitty;bobby;wild;usain;maytag;baby;white;other;lady;new;nakey;wu;best;ayy,wild;wild;wild;wild;kitty;one;bobby;usain;baby;maytag;nakey;white;ayy;new;brown;rest;nothing;lady;jets;'cause,wild;wild;kitty;maytag;nothing;thing;wild;ayy;jets;brown;baking;wild;cookie;hop;water;rockin;wild;wet;town;pussy
19,Black Beatles,Rae Sremmurd,2017,girl;haters;old;quick;black;reason;cash;real;smoke;young;friends;air;broke;rich;needle;club;bitch;baby;real;much,real;gringos;real;black;hater;moneys;black;heart;new;young;real;air;haters;baby;frat;air;yellow;john;money;much,black;hater;black;real;babes;young;real;small;real;yellow;yellow;city;guwop;air;john;frat;old;world;girl;green,black;girl;haters;reason;old;quick;real;air;cash;young;friends;frat;smoke;reason;needle;hater;broke;real;club;rich
20,Starboy,The Weeknd,2017,starboy;motherfuckin;empty;centerpiece;racks;table;house;ebony;ivory;nigga;skinny;money;baby;face;hearing;style;lane;cup;shade;pain,lavish;new;brand;empty;bandit;whole;fall;ebony;nigga;skinny;cars;nigga;church;p1;main;khan;grocery;worst;face;motherfuckin,worst;church;p1;milli;red;new;empty;whole;ebony;main;skinny;side;face;cars;nigga;motherfuckin;none;table;year;nigga,starboy;motherfuckin;empty;centerpiece;racks;house;table;ebony;ivory;nigga;skinny;league;money;baby;main;face;hearing;whole;style;lane
21,Location,Khalid,2017,nothing;location;time;place;vibrations;tonight;ride;lot;cool;subtweets;personal;new;love;things;little;heart;advantage;night;move;attention,little;cool;nothing;location;'cause;personal;heart;place;lot;vibrations;things;tonight;time;subtweets;ride;love;advantage;times;night;vibe,location;'cause;place;time;nothing;vibrations;tonight;ride;little;heart;night;cool;things;vibe;times;lot;subtweets;advantage;love;attention,nothing;location;time;place;vibrations;tonight;ride;lot;cool;subtweets;personal;new;love;things;little;heart;advantage;night;move;attention
22,Attention,Charlie Puth,2017,round;attention;dress;karma;someone;thought;sure;start;heart;gettin;dirt;tonight;runnin;name;ready;karma;party;face;right;baby,round;round;karma;round;perfume;someone;ready;runnin;attention;dress;karma;thought;'bout;start;ready;face;'cause;dirt;sure;gettin,round;round;round;woah;dirt;'cause;name;karma;party;la;perfume;attention;start;dress;'bout;someone;thought;ready;heart;tonight,round;attention;dress;karma;runnin;someone;sure;thought;dirt;start;gettin;heart;tonight;name;ready;round;round;karma;perfume;face
23,There's Nothing Holdin' Me Back,Shawn Mendes,2017,nothing;baby;alright;inhibitions;reputation;places;crazy;dark;side;enough;minds;confessing;afraid;everybody;hesitation;baby;free;close;control,baby;decisions;nothing;baby;'cause;alright;everybody;afraid;reputation;places;close;enough;dark;side;inhibitions;crazy;minds;control;hesitation;free,baby;decisions;nothing;baby;'cause;places;reputation;inhibitions;control;minds;side;dark;hesitation;everybody;confessing,nothing;baby;inhibitions;alright;reputation;decisions;crazy;places;dark;side;enough;minds;confessing;afraid;everybody;hesitation;baby;free;close;control
24,Bodak Yellow,Cardi B,2017,lil;hoes;bloody;money;pussy;nigga;comfortable;look;red;rich;expensive;store;safe;mama;boss;front;shit;rollie;gate;gold,lil;worker;bitch;bloody;pussy;bloody;money;hoes;yves;pussy;new;frosted;red;gold;fuck;cardi;baby;front;rich;cardi,cardi;cardi;ksr;shit;lil;worker;pussy;bloody;money;bitch;bloody;pussy;red;money;gold;stove;look;boss;store;hoes,lil;hoes;bloody;money;pussy;comfortable;look;nigga;red;store;expensive;bitch;rich;mama;money;worker;bloody;safe;boss;front
25,Redbone,Childish Gambino,2017,nigga;eyes;right;peanut;scandalous;woke;late;kool;hard;boy;ooh;gon;pride;shit;time;something;mine;daylight,peanut;niggas;kool;nigga;eyes;right;late;hard;pride;woke;ooh;boy;scandalous;time;gon;shit;something;mine;daylight,daylight;niggas;nigga;eyes;kool;pride;shit;boy;woke;ooh;gon;time;mine;something,nigga;niggas;right;hard;boy;eyes;pride;peanut;scandalous;woke;late;shit;kool;mine;ooh;time;gon;daylight;something
26,I Don't Wanna Live Forever,Zayn,2017,night;name;day;crazy;something;nicest;baby;nothing;open;eyes;sad;vain;love;thing;mind;bullet;empty;point;cruel;walls,nicest;life;baby;night;nicest;crazy;day;eyes;open;cruel;something;empty;fit;vain;nothing;sad;thing;walls;mind;point,life;baby;eyes;night;walls;cruel;thing;mind;nicest;day;name;point;something;empty;bullet;nothing;love;cab;place,night;name;crazy;day;something;nicest;baby;nothing;open;sad;eyes;vain;life;point;love;empty;thing;mind;bullet;nicest
27,It Ain't Me,Kygo,2017,grateful;whiskey;morning;dark;night;eye;alone;dream;drunk;bowery;high;sun;lines;libertines;polaroids;memories;enough;worst,bowery;whiskey;bowery;grateful;dark;summer;morning;memories;polaroids;alone;drunk;eye;dream;night;high;lines;libertines;enough;own;worst,bowery;neat;bowery;whiskey;dream;dark;morning;eye;summer;lines;night;libertines;polaroids;memories;sun,whiskey;grateful;bowery;bowery;eye;high;dark;morning;dream;night;lines;enough;alone;drunk;sun;summer;libertines;polaroids;memories;worst
28,iSpy,Kyle,2017,little;man;girlie;ridin;cutie;many;fine;wife;right;diamonds;mind;vision;last;damn;wrong;kids;lane;high;teeth;mother,kids;little;wrong;bad;real;trees;man;little;kids;cirque;last;thanks;wrong;ayy;bro;fine;young;album;ridin;neck,kids;wrong;bad;trees;man;wrong;bro;thanks;kids;kyle;luxury;makin;little;piano;life;fine;mmm;time;little;water,man;little;little;right;kids;life;wrong;high;fine;girlie;thanks;vision;ridin;cutie;mmm;many;wife;gettin;diamonds;mind
29,Issues,Julia Michaels,2017,issues;bad;kind;love;glory;problems;bask;things;angry;perfect;mad;hands;purpose;ocean;overzealous;jealous;view;high;fast,perfect;'cause;issues;bad;angry;problems;love;glory;same;kind;things;baby;overzealous;jealous;bask;ocean;hands;purpose;view;mad,'cause;angry;issues;baby;problems;love;glory;kind;perfect;bask;same;wired;things;ocean;view;purpose;hands,issues;bad;kind;love;glory;problems;bask;things;angry;baby;perfect;mad;hands;purpose;overzealous;jealous;high;ocean;fast;view
30,Scars to Your Beautiful,Alessia Cara,2017,beautiful;stars;scars;heart;world;thing;better;way;hope;cause;dark;little;deeper;pain;light;shine;life;nothing;everything;dreams,little;little;beautiful;little;better;better;cause;beauty;pain;scars;heart;stars;light;covergirls;better;world;deeper;everything;thing;hope,heart;scars;stars;limits;world;little;attention;image;thing;cause;better;better;light;little;dark;beauty;pain;hope;covergirls;sculptor,beautiful;stars;scars;heart;world;thing;better;way;cause;hope;dark;pain;little;deeper;light;life;shine;better;woes;better
31,1-800-273-8255,Logic,2017,life;alive;mind;time;low;lightness;today;nobody;hard;long;road;darkest;air;heroic;chest;day;lover;one;little;head,life;life;little;darkest;little;other;mind;first;light;time;low;nobody;alive;alone;lane;same;long;road;tears;'bout,life;time;mind;nobody;little;little;other;today;home;first;one;heroic;day;light;darkest;lemme;'bout;somebody;phone;reason,alive;life;mind;time;low;lightness;today;nobody;long;hard;road;darkest;air;chest;lover;heroic;head;day;first;one
32,Slow Hands,Niall Horan,2017,baby;sweat;dirty;stoppin;baby;chance;plans;fingertips;bad;show;home;night;time;thinkin;day;wanna;face;place,baby;slow;slow;sweat;dirty;baby;bad;fingertips;'cause;same;plans;stoppin;chance;day;show;face;thinkin;time;'bout;night,slow;baby;slow;sweat;dirty;baby;'cause;face;same;place;fingertips;stoppin;plans;chance;day;time;'bout;show;night;home,baby;sweat;slow;dirty;baby;chance;bad;stoppin;plans;fingertips;show;night;home;slow;time;thinkin;day;face;wanna;place
33,Love on the Brain,Rihanna,2017,love;brain;enough;high;good;black;fire;blue;fist;taste;way;pretty;close;miles;something;name;motherfuckin;tired;hiii;owww,brain;i;high;wall;fist;baby;brain;love;pretty;good;fire;enough;close;violin;tired;owww;heart;hiii;miles;blue,i;brain;high;wall;baby;pretty;heart;hiii;love;brain;fist;price;good;motherfuckin;fire;miles;taste;way;something;name,love;high;brain;price;enough;pretty;good;fire;black;fist;blue;taste;close;way;miles;something;name;baby;hiii;heart
34,I Feel It Coming,The Weeknd,2017,baby;simple;time;free;love;heat;lonely;alone;single;legs;body;high;right;eyes;step,simple;perfect;body;touch;baby;single;lonely;legs;heat;time;eyes;step;free;love;right;high;alone,perfect;simple;baby;body;single;touch;time;lonely;step;eyes;heat;legs;love,baby;simple;free;time;love;heat;alone;legs;body;lonely;single;perfect;eyes;step;high;touch;right
35,Bounce Back,Big Sean,2017,last;niggas;real;tonight;switching;ass;knew;morning;wake;everything;check;hell;beast;week;life;fuckin;look;feet;wells;owe,bounce;last;night;real;nigga;bounce;m;night;court;switching;life;d;pathetic;real;city;brown;niggas;don;sides;beast,young;hitmaka;last;night;night;real;d;l;tonight;bounce;morning;wake;city;ass;don;switching;owe;knew;week;court,last;real;niggas;tonight;nigga;ass;knew;morning;switching;wake;beast;everything;night;hell;check;real;week;fuckin;look;life
36,Strip That Down,Liam Payne,2017,hard;strip;loud;music;body;ground;people;baby;swing;round;lot;hands;crowd;love;f1;eyes;coke;bacardi;party;fun,girl;nothing;girl;ground;hard;key;girl;c'mon;love;strip;f1;ground;seal;baby;body;music;people;nobody;loud;party,girl;nothing;girl;ground;hard;key;girl;huncho;c'mon;strip;love;ground;f1;eyes;music;baby;anything;quavo;body;people,hard;strip;loud;music;body;ground;girl;people;baby;love;swing;round;lot;eyes;crowd;hands;bad;f1;ground;girl
37,Fake Love,Drake,2017,face;whole;place;fake;love;word;mistakes;night;skrrt;day;safe;right;things;solid;shit;reach;problems;son;headtop;name,face;fake;whole;face;fake;whole;fake;love;place;solid;safe;more;reach;shit;headtop;son;problems;same;night;somethin',fake;fake;face;whole;face;love;whole;place;somethin';more;safe;word;skrrt;shit;reach;headtop;problems;son;night;mistakes,face;whole;place;fake;fake;love;fake;word;mistakes;skrrt;night;right;day;safe;things;solid;whole;shit;reach;problems
38,Don't Wanna Know,Maroon 5,2017,home;way;happy;actin;strange;friends;better;name;birthday;one;jealous;place;baby;someone;bed;matter;head;poona;fool;past,more;matter;someone;more;bed;name;past;friends;strange;actin;screenshots;one;place;baby;better;poona;jealous;fool;head;birthday,home;more;name;friends;baby;place;way;screenshots;one;birthday;matter;bed;someone;wasted;head;fool;past;poona;body;time,home;way;happy;actin;strange;friends;better;name;birthday;one;jealous;place;baby;someone;bed;matter;head;poona;fool;past
39,Look What You Made Me Do,Taylor Swift,2017,time;nobody;honey;bad;actress;nick;dead;harder;list;names;smarter;world;red;mine;day;drama;gun;tilted;feast;role,drama;tilted;old;kingdom;perfect;little;time;bad;world;feast;role;nobody;honey;nick;dead;phone;sorry;cool;mine;gun,tilted;little;role;perfect;fool;time;bad;gun;mine;nick;honey;drama;nobody;list;names;yours;actress;kingdom;red;world,time;nobody;honey;bad;actress;nick;dead;harder;list;names;smarter;world;red;mine;day;drama;gun;tilted;feast;role
40,Castle on the Hill,Ed Sheeran,2017,hill;castle;friends;way;one;sunset;years;real;country;brother;hand;smoking;tiny;younger;cigarettes;second;backfields;law;drunk;first,old;country;friends;years;castle;hill;cheap;first;one;mountain;sweet;tiny;second;friday;brother;weekend;way;years;sunset;law,old;country;friends;castle;years;hill;sweet;mountain;brother;tiny;way;sunset;first;one;leg;friday;cheap;second;hand;cigarettes,hill;castle;friends;way;one;years;sunset;real;country;brother;smoking;hand;tiny;cigarettes;younger;backfields;law;second;drunk;first
41,Bad Things,Machine Gun Kelly,2017,bad;body;scars;good;head;complicated;mind;way;breath;losin;night;heels;young;novacaine;high;religion;strange;lips;teeth;little,back;bad;face;nails;breath;bass;kitchen;picture;body;little;bad;way;scars;mind;novacaine;losin;drug;high;pain;lips,bad;mind;head;little;face;body;back;nails;bass;scars;breath;kitchen;voice;picture;pain;losin;nothing;drug;religion;lips,bad;body;scars;good;head;complicated;mind;way;breath;losin;heels;night;novacaine;young;religion;high;strange;lips;teeth;little
42,Paris,The Chainsmokers,2017,paris;better;cigarette;posting;terrace;anything;clever;everything;parents;frown;thrill;drunk;past;small;air;class;internet;proud;livin;fair,small;own;posting;paris;better;terrace;thrill;air;class;drunk;frown;cigarette;internet;clever;anything;proud;parents;past;livin;everything,paris;parents;posting;frown;small;own;terrace;cigarette;anything;everything;internet;air;class;thrill;shot;past;livin;someone,paris;better;cigarette;posting;terrace;anything;clever;everything;parents;frown;thrill;drunk;past;small;air;class;internet;proud;livin;fair
43,Side to Side,Ariana Grande,2017,side;walkin;boy;day;night;talkin;fresh;way;much;friends;stephanie;body;flows;blow;new;minaj;young;tricycle;rap;queen,flow;wrist;young;stephanie;gum;fresh;young;blue;pop;much;side;new;tiffany;type;talkin;'cause;friends;bad;body;walkin,side;day;boy;walkin;night;talkin;new;much;fresh;stephanie;gum;young;friends;body;way;bad;'cause;nothin';pop;type,side;walkin;boy;day;night;talkin;way;fresh;much;friends;stephanie;flows;body;much;new;blow;minaj;young;tricycle;type
44,Rockabye,Clean Bandit,2017,baby;rockabye;life;love;eyes;things;sky;nobody;angels;one;somebody;head;time;mom;warm;cold;nothing;special;adoration;safe,rockabye;rockabye;rockabye;clean;rockabye;baby;yo;rockabye;year;things;hard;good;baby;inna;yout;single;life;year;bus;school,rockabye;rockabye;baby;rockabye;yo;rockabye;adoration;yout;special;love;creation;single;baby;mom;single;devotion;things;good;hard;life,baby;life;rockabye;love;one;things;rockabye;eyes;nobody;mom;sky;somebody;rockabye;adoration;nothing;daughter;time;angels;special;father
45,Feel It Still,Portugal. The Man,2017,rebel;kicks;ooh;little;left;hopes;goodbye;dreams;easy;case;peace;war;kids;shelf;love;enemies;time;abyss;walls;grave,little;baby;left;rebel;grave;little;kicks;ooh;need;goodbye;easy;shelf;dreams;hopes;leaves;case;peace;war;enemies;kids,little;baby;dust;left;shelf;rebel;hands;kicks;ooh;need;grave;case;leaves;kids;time;love;abyss;walls;mouth;middle,rebel;kicks;ooh;little;left;case;shelf;goodbye;hopes;easy;need;dreams;peace;war;love;kids;abyss;grave;little;enemies
46,Let Me Love You,DJ Snake,2017,nah;days;heaven;edge;darkest;good;heartbreak;ride;miracle;hell;knife;baby;say;miles;mirrors;waitin;dream;asleep;wheel;rude,somethin';baby;miracle;good;dream;edge;say;darkest;heaven;days;good;miracle;wheel;asleep;rude;mirrors;waitin;knife;ride;hell,beautiful;beautiful;dream;somethin';baby;edge;miracle;mirrors;miracle;say;waitin;days;heaven;hell;ride;knife;wheel;nah;heartbreak;miles,nah;days;heaven;darkest;edge;good;heartbreak;ride;miracle;hell;knife;say;baby;miles;mirrors;waitin;good;dream;rude;asleep
47,Sorry Not Sorry,Demi Lovato,2017,baby;sorry;bad;revenge;baddest;better;bein;payback;good;tables;worse;bet;fire;easy;nice;savage;bigger;greener;bright;grass,baby;baby;baby;bad;sorry;bigger;revenge;better;bad;second;feelin;good;bet;bitter;grass;bein;baddest;proud;regret;payback,baby;baby;bad;baby;payback;revenge;feelin;better;good;bigger;bein;tables;second;fire;ten;bet;regret;savage;bitter;way,baby;sorry;bad;revenge;feelin;bad;baddest;payback;better;bein;worse;good;tables;ten;fire;bet;best;easy;savage;nice
48,Bank Account,21 Savage,2017,real;bank;shooters;bitch;shit;yuh;wanna;dog;triple;rari;niggas;choppers;ruler;mad;saint;careful;action;chair;bear;ashes,saint;bad;real;yeah;bitch;o'neal;hills;eel;dawg;nigga;rari;saint;dog;fair;shit;ruler;ruler;body;wanna;bank,bad;bitch;bank;real;fair;shit;o'neal;hills;yuh;saint;eel;shit;dawg;new;triple;rari;nigga;caution;dog;ruler,bank;real;shooters;bitch;ready;shit;yuh;dawg;dog;wanna;niggas;triple;rari;choppers;ruler;bear;saint;careful;chair;mad
49,Can't Stop the Feeling!,Justin Timberlake,2017,feeling;body;dance;dance;got;hot;feeling;good;pocket;nobody;sunshine;ceiling;feet;things;zone;lights;everything;room;way;eyes,dance;feeling;dance;good;dance;feeling;feeling;good;body;body;hot;electric;ceiling;something;zone;pocket;sunshine;got;everything;lights,dance;dance;feeling;good;feeling;dance;good;body;electric;body;hot;bones;got;ceiling;pocket;sunshine;feet;city;zone;blood,feeling;body;dance;dance;got;hot;feeling;good;pocket;feet;nobody;sunshine;ceiling;things;zone;lights;everything;dance;room;way
50,Mi Gente,J Balvin,2017,romper;tiene;la;est;que;hago;sica;arriba;esquina;leggo;mais;los;mueve;tres;discoteca;si;es;rompiendo;nunca;tamo,sica;sica;tiene;romper;mi;toda;mi;worldwide;mira;los;comme;y;tiene;willy;y;que;el;el;si;tiene,mi;si;toda;mi;el;el;tiene;y;que;y;sica;m;mover;esta;hago;t;los;la;mueve;d,romper;tiene;hago;mueve;que;la;mi;sica;si;est;discoteca;nadie;rompiendo;cabeza;mover;tamo;para;nos;toda;baila
51,Thunder,Imagine Dragons,2017,thunder;lightning;thunder;thunder;thunder;uptight;fit;follower;box;mold;seat;foyer;bigger;loose;number;nosebleeds;sir;quick;kids;classes,thunder;thunder;thunder;thunder;thunder;thunder;thunder;uptight;bigger;lightning;quick;wanna;big;own;young;basic;loose;box;seat;mold,thunder;thunder;thunder;thunder;thunder;uptight;young;quick;wanna;bigger;lightning;own;sir;box;follower;fit;mold;seat;number;foyer,thunder;lightning;thunder;thunder;thunder;thunder;uptight;nosebleeds;fit;follower;box;loose;mold;seat;foyer;bigger;quick;number;sir;wanna
52,T-Shirt,Migos,2017,young;mama;niggas;pocket;bitches;cottage;work;rocket;woah;wrist;audi;vultures;noggin;top;eyes;poppin;niggas;way;time;trappin,young;young;same;border;country;niggas;pocket;cash;family;bag;woah;pocket;work;real;space;real;real;act;t;lotta,work;shit;mama;t;same;b;work;nard;young;young;niggas;pocket;border;country;cash;family;bag;pocket;young;poppin,mama;young;niggas;bitches;pocket;cottage;work;rocket;woah;wrist;audi;noggin;top;poppin;niggas;eyes;young;vultures;way;young
53,Rake It Up,Yo Gotti,2017,nigga;hoes;bag;nigga;china;pussy;name;bricks;fuck;smile;gossipin;check;ones;dough;wr;stripper;supreme;cookie;webb;nigga,nigga;strip;bad;joe;nigga;china;bad;roc;little;nigga;china;nicole;pussy;nitti;niggas;young;money;bad;china;pussy,young;nigga;nigga;joe;nigga;money;mike;hoes;pussy;pussy;bad;bag;bad;pussy;twin;nitti;wr;ask;little;amg,nigga;hoes;pussy;bag;nigga;china;bricks;name;pussy;nigga;fuck;smile;stripper;check;ones;gossipin;bad;pay;vvs;storm
54,Mercy,Shawn Mendes,2017,heart;mercy;mercy;easy;bones;lungs;prepared;skin;air;open;life;strings;baby;puppet;good;free;honest;ooh;lot;pride,mercy;mercy;heart;good;open;power;open;free;bones;skin;easy;lungs;air;prepared;puppet;crazy;baby;feet;hold;night,mercy;power;hold;mercy;heart;feet;open;open;good;baby;air;night;skin;lungs;puppet;bones;lot;pride;life;strings,heart;mercy;mercy;easy;bones;lungs;prepared;skin;air;open;baby;life;strings;puppet;good;free;open;honest;ooh;lot
55,Tunnel Vision,Kodak Black,2017,lil;baby;girl;one;boy;good;kodak;mama;nigga;tunnel;penitentiary;fuckin;homies;mission;millions;day;everything;snake;liver;horny,glee;baby;door;kodak;lil;snake;good;baby;wraith;tunnel;girl;boy;kodak;liver;mama;toilet;one;good;day;niggas,door;lil;baby;kodak;wraith;baby;kodak;girl;tunnel;good;metro;one;boy;mama;penitentiary;yota;wraith;homies;niggas;fuckin,lil;baby;girl;boy;good;one;kodak;mama;tunnel;nigga;penitentiary;fuckin;homies;mission;millions;day;everything;snake;baby;liver
56,Rockstar,Post Malone,2017,fuckin;man;rockstar;pillies;cop;poppin;hoes;hundred;rasta;thing;brothers;grrra;gas;shottas;smokin;block;homies;uzi;stage;prolly,star;rockstar;rockstar;cop;henny;hills;rockstar;cop;fuckin;hundred;table;outta;hahahahaha;car;bitches;hard;old;bon;green;montage,rockstar;hills;fuckin;ayy;rockstar;hoes;rockstar;poppin;man;pillies;cop;cop;smokin;gas;rasta;uzi;shottas;car;ta;homies,fuckin;man;rockstar;pillies;cop;poppin;hoes;hundred;rasta;brothers;thing;gas;grrra;shottas;smokin;homies;block;uzi;legendary;stage
57,In Case You Didn't Know,Brett Young,2017,times;case;heart;baby;crazy;mmm;life;second;tonight;wine;things;way;something;girl;nothing;got;everything;mind,long;time;case;second;other;heart;something;things;mind;wine;way;tonight;mmm;baby;crazy;got;girl;nothing;times;everything,long;other;mind;time;case;times;heart;things;mmm;baby;second;something;got;way;nothing;wine;tonight;girl;everything;life,times;case;heart;long;baby;crazy;mmm;life;second;things;tonight;wine;way;something;girl;nothing;got;everything;mind
58,Heathens,Twenty One Pilots,2017,heathens;slow;friends;abuse;half;people;sudden;wait;room;certain;door;guns;newcomers;brains;day;hand;trust;outsiders;psychopath;intentions,hand;weird;sudden;certain;abuse;half;trust;heathens;friends;people;slow;brains;newcomers;door;freakshow;guns;rooms;outsiders;room;psychopath,friends;heathens;sudden;abuse;half;wait;weird;people;room;hand;rooms;certain;outsiders;trust;brains;day;guns;newcomers;door;psychopath,heathens;slow;friends;abuse;half;people;sudden;room;wait;door;certain;guns;brains;day;newcomers;hand;trust;outsiders;psychopath;intentions
59,Now or Never,Halsey,2017,baby;line;enough;round;need;ups;night;wishin;whole;love;downs;callin;time;light;turnin;mind;talk;wall;nobody;different,round;baby;enough;whole;more;ups;nobody;enough;different;line;callin;downs;night;wall;talk;love;light;time;wishin;need,round;whole;ups;nobody;baby;enough;downs;more;love;different;line;night;need;time;callin;wishin;light;something;mind;talk,baby;line;enough;round;need;ups;night;enough;wishin;whole;time;love;downs;callin;light;turnin;mind;talk;wall;nobody
60,Caroline,Aminé,2017,baby;caroline;bad;man;nigga;hell;great;lane;fuck;nah;kitty;mighty;feet;future;lame;chief;knee;shut;pipe;degrees,bad;bad;bad;bad;thang;bad;sticky;safe;chief;meagan;kitty;urgent;knee;baby;dime;tall;mighty;bad;pro;true,bad;dime;thang;bad;true;man;bad;nah;beyonc;sticky;hell;safe;pro;urgent;kitty;baby;mighty;chief;knee;caroline,baby;caroline;man;hell;bad;fuck;nigga;great;lane;nah;hell;mighty;meagan;lame;pipe;kitty;future;feet;chief;shut
61,Rolex,Ayo,2017,ice;ayy;dab;rollie;ranch;rollie;wrist;designer;girl;pants;better;chick;rollie;trance;yeah;snowman;got;yeah;tuesday;whiteskins,rollie;rollie;rollie;rollie;rollie;rollie;baby;yeah;ayy;girl;ice;crazy;kim;got;blue;bands;ranch;dab;yeah;wet,rollie;rollie;rollie;rollie;rollie;dab;ranch;ice;baby;designer;ayy;red;pants;blue;wrist;snowman;trance;chick;girl;wet,ice;ayy;dab;rollie;ranch;rollie;wrist;designer;girl;pants;chick;better;rollie;trance;yeah;snowman;got;rollie;yeah;tuesday
62,DNA,Kendrick Lamar,2017,dna;royalty;loyalty;power;way;better;money;shit;matrix;window;heritage;fucking;peace;riches;kids;fate;reason;sentence;ceilin;diamond,murder;dna;dna;dna;dna;dna;sex;four;power;way;way;young;yeshua;window;window;pool;fate;loyalty;monday;faith,dna;dna;dna;dna;power;loyalty;royalty;sex;faith;better;power;peace;sucker;ambition;young;new;war;immaculate;life;front,dna;royalty;loyalty;power;way;better;money;shit;power;peace;matrix;fucking;window;heritage;life;kids;riches;joy;war;sex
63,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,2017,aye;man;dance;juju;girl;daddy;zay;son;ugly;slide;dance;dem;party;zayion;leggo;whole;buckin;ready;nother;right,son;leggo;freaky;crazy;dance;beat;aye;lil;yas;comparings;detroit;dance;juju;nother;slide;zay;girl;hair;skinny;dem,son;dance;crazy;freaky;dance;detroit;yas;baby;lil;beat;girl;comparings;zay;man;juju;daddy;slide;son;zayion;grandma,aye;man;dance;girl;juju;dance;daddy;zay;slide;son;ugly;dem;party;zayion;girlfriend;beat;leggo;whole;nother;buckin
64,Swang,Rae Sremmurd,2017,young;big;everyday;money;drop;whole;brave;drank;gettin;grave;hop;blow;uhmm;talkin;air;lanes;switchin;broke;slain;game,young;little;big;niggas;bad;drop;new;everyday;whole;lanes;thing;paper;money;drank;gettin;talkin;spot;hop;grave;uhmm,young;big;little;uhmm;everyday;know;whole;drank;bad;drop;money;spot;new;gettin;thing;anything;talkin;nigga;bottom;grave,young;big;everyday;money;drop;little;whole;brave;drank;hop;grave;gettin;uhmm;blow;talkin;air;nigga;dough;lanes;grippin
